region,value
18107,47325
18109,52534
18111,49953
18113,45372
18115,46980
18117,36650
18119,39983
18121,39025
18123,42519
18125,42479
18127,60010
18129,54381
18131,41682
18133,47476
18135,38181
18137,44168
18139,43624
18141,38108
18143,40593
18145,46179
18147,46993
18149,36782
18151,43034
18153,39038
18155,40214
18157,44459
18159,49460
18161,42230
18163,39071
18165,37954
18167,36281
18169,42623
18171,49867
18173,57490
18175,40900
18177,34058
18179,45988
18181,45178
18183,48984
19001,44550
19003,40922
19005,41544
19007,35044
19009,43919
19011,55034
19013,43039
19015,48895
19017,57346
19019,50574
19021,44186
19023,50143
19025,44034
19027,47733
19029,42026
19031,54430
19033,42837
19035,48037
19037,46816
19039,39780
19041,47799
19043,45220
19045,46221
19047,45154
19049,73754
19051,41362
19053,34905
19055,50763
19057,39878
19059,54505
19061,48271
19063,43607
19065,41605
19067,45534
19069,44525
19071,47366
19073,44578
19075,57082
19077,49946
19079,47304
19081,50994
19083,48271
19085,49998
19087,46576
19089,42755
19091,48624
19093,48309
19095,53963
19097,42945
19099,51605
19101,39004
19103,49477
19105,50914
19107,44290
19109,52051
19111,42134
19113,52545
19115,47788
19117,38138
19119,56307
19121,54936
19123,45547
19125,52899
19127,47783
19129,52546
19131,49333
19133,38557
19135,45579
19137,41540
19139,50241
19141,53274
19143,47444
19145,44115
19147,46066
19149,54043
19151,46871
19153,55228
19155,47028
19157,47241
19159,44005
19161,47799
19163,50631
19165,50906
19167,57487
19169,50015
19171,50073
19173,41856
19175,40320
19177,40006
19179,37783
19181,61682
19183,50664
19185,36251
19187,42036
19189,46854
19191,49468
19193,42479
19195,46130
19197,45911
20001,37266
20003,39417
20005,41085
20007,46588
20009,39490
20011,33469
20013,38524
20015,52502
20017,41197
20019,36243
20021,37487
20023,36563
20025,39863
20027,44803
20029,37815
20031,49741
20033,40989
20035,39375
20037,34369
20039,35142
20041,45599
20043,43092
20045,47633
20047,42487
20049,34908
20051,44130
20053,44666
20055,43693
20057,43191
20059,44914
20061,38173
20063,44677
20065,41310
20067,51103
20069,52649
20071,47090
20073,33295
20075,39303
20077,40049
20079,50343
20081,49358
20083,45678
20085,47112
20087,51045
20089,38987
20091,68942
20093,50589
20095,47689
20097,42236
20099,35842
20101,49209
20103,60841
20105,39543
20107,40952
20109,43127
20111,36717
20113,49040
20115,42145
20117,46579
20119,50164
20121,55524
20123,42946
20125,36310
20127,43154
20129,47574
20131,46503
20133,38944
20135,45970
20137,39420
20139,45559
20141,35797
20143,48396
20145,42156
20147,40992
20149,55663
20151,47400
20153,42686
20155,41010
20157,37030
20159,42210
20161,43026
20163,38007
20165,39864
20167,36752
20169,45108
20171,47440
20173,45262
20175,42173
20177,46537
20179,47391
20181,35362
20183,36916
20185,39458
20187,46476
20189,53457
20191,47283
20193,44316
20195,40609
20197,50603
20199,42854
20201,40822
20203,47694
20205,38196
20207,38101
20209,36015
21001,29489
21003,37010
21005,49150
21007,39720
21009,35682
21011,31388
21013,23957
21015,60702
21017,37240
21019,38540
21021,40532
21023,40195
21025,24987
21027,37298
21029,53437
21031,34101
21033,34703
21035,35317
21037,49586
21039,35601
21041,38865
21043,32332
21045,27250
21047,38438
21049,42328
21051,22480
21053,25521
21055,34754
21057,27939
21059,43622
21061,33780
21063,27475
21065,28259
21067,44600
21069,32971
21071,29042
21073,43065
21075,26550
21077,41050
21079,39851
21081,40789
21083,37161
21085,30515
21087,30046
21089,41458
21091,47250
21093,44942
21095,23677
21097,39270
21099,31235
21101,39516
21103,44866
21105,36020
21107,37925
21109,26745
21111,44168
21113,48368
21115,32170
21117,50170
21119,30032
21121,24383
21123,38628
21125,32894
21127,31125
21129,23962
21131,26976
21133,29572
21135,28311
21137,32634
21139,38293
21141,36745
21143,40277
21145,39122
21147,22696
21149,35457
21151,41704
21153,27728
21155,36887
21157,41064
21159,25045
21161,39364
21163,42763
21165,27942
21167,40828
21169,28735
21171,27806
21173,38431
21175,29367
21177,34453
21179,45981
21181,34414
21183,37777
21185,80516
21187,39183
21189,21124
21191,42378
21193,30038
21195,32614
21197,29687
21199,31949
21201,35432
21203,30810
21205,35050
21207,28815
21209,57570
21211,52829
21213,36377
21215,62038
21217,34035
21219,35834
21221,40375
21223,42214
21225,41471
21227,44765
21229,39523
21231,27785
21233,38018
21235,28715
21237,23860
21239,55084
22001,36071
22003,35452
22005,65379
22007,41615
22009,30912
22011,42987
22013,31423
22015,48264
22017,36990
22019,40713
22021,33466
22023,48087
22025,31207
22027,31981
22029,28300
22031,36643
22033,44424
22035,24905
22037,38666
22039,29879
22041,29055
22043,38322
22045,38300
22047,37616
22049,33227
22051,43287
22053,37905
22055,51127
22057,48465
22059,39155
22061,32239
22063,49397
22065,24872
22067,26923
22069,32702
22071,33702
22073,37176
22075,47712
22077,39178
22079,36650
22081,33257
22083,30202
22085,35212
22087,37854
22089,52229
22091,31831
22093,44971
22095,44070
22097,31415
22099,39160
22101,36834
22103,57336
22105,37410
22107,26058
22109,48094
22111,33316
22113,40392
22115,39776
22117,29414
22119,33257
22121,45426
22123,32187
22125,48940
22127,33175
23001,41008
23003,34494
23005,51166
23007,38271
23009,41349
23011,41988
23013,44965
23015,45482
23017,36205
23019,40560
23021,33993
23023,48617
23025,35598
23027,40177
23029,33250
23031,51299
24001,37193
24003,79683
24005,60097
24009,85549
24011,42792
24013,76324
24015,60336
24017,81443
24019,39562
24021,77641
24023,41294
24025,72028
24027,100903
24029,51794
24031,91018
24033,66661
24035,74529
24037,72791
24039,33577
24041,53496
24043,51746
24045,44206
24047,48614
24510,39047
25001,56434
25003,47829
25005,49870
25007,54194
25009,62526
25011,48198
25013,45159
25015,57574
25017,76366
25019,66268
25021,77958
25023,69992
25025,50370
25027,57906
26001,33789
26003,36102
26005,51402
26007,36067
26009,43606
26011,35525
26013,37572
26015,47465
26017,39342
26019,40123
26021,41189
26023,40869
26025,41237
26027,39872
26029,42433
26031,35291
26033,42235
26035,31251
26037,57409
26039,34991
26041,38395
26043,40258
26045,49998
26047,45009
26049,38494
26051,32594
26053,31320
26055,47200
26057,39082
26059,37536
26061,34359
26063,38169
26065,41828
26067,45612
26069,33574
26071,32268
26073,37190
26075,41850
26077,43192
26079,36518
26081,48355
26083,34621
26085,28509
26087,49758
26089,52389
26091,43422
26093,66097
26095,35602
26097,36119
26099,49245
26101,38368
26103,42006
26105,37606
26107,36979
26109,38004
26111,49294
26113,37408
26115,51840
26117,37933
26119,31379
26121,38645
26123,40209
26125,62568
26127,40113
26129,32342
26131,30796
26133,35717
26135,28916
26137,43723
26139,53932
26141,35941
26143,29470
26145,38602
26147,46450
26149,40817
26151,38595
26153,35816
26155,40768
26157,38538
26159,41645
26161,55765
26163,37649
26165,36795
27001,38857
27003,65673
27005,45738
27007,39397
27009,47952
27011,41510
27013,47691
27015,48414
27017,48981
27019,80682
27021,44979
27023,51363
27025,66396
27027,48885
27029,41032
27031,44753
27033,42269
27035,45253
27037,68661
27039,68630
27041,48471
27043,43886
27045,47728
27047,44357
27049,57125
27051,46143
27053,59825
27055,47577
27057,43271
27059,54343
27061,43554
27063,52447
27065,43652
27067,49557
27069,45064
27071,41678
27073,43527
27075,47311
27077,39657
27079,55974
27081,44829
27083,47438
27085,51121
27087,36925
27089,49931
27091,47537
27093,51452
27095,45547
27097,45304
27099,46943
27101,49567
27103,54514
27105,47368
27107,42105
27109,61218
27111,44784
27113,43987
27115,40012
27117,44278
27119,49014
27121,51523
27123,52350
27125,41866
27127,46919
27129,50053
27131,54536
27133,50259
27135,47963
27137,42798
27139,79494
27141,69668
27143,52084
27145,52733
27147,50154
27149,52208
27151,48435
27153,40894
27155,46917
27157,48931
27159,37017
27161,49704
27163,75375
27165,44697
27167,49147
27169,46159
27171,66956
27173,46787
28001,29187
28003,31123
28005,31220
28007,29428
28009,28083
28011,27547
28013,30369
28015,34672
28017,30247
28019,30616
28021,23656
28023,31750
28025,28768
28027,25574
28029,29814
28031,30688
28033,54907
28035,31982
28037,33444
28039,40543
28041,35517
28043,29482
28045,40797
28047,38739
28049,32387
28051,21086
28053,21016
28055,29065
28057,37130
28059,44464
28061,31252
28063,24552
28065,25810
28067,33668
28069,28688
28071,37895
28073,47741
28075,32584
28077,33773
28079,31711
28081,40194
28083,22974
28085,31276
28087,36119
28089,60128
28091,30343
28093,34155
28095,33724
28097,28018
28099,32287
28101,34319
28103,24606
28105,31241
28107,30809
28109,38785
28111,32335
28113,28675
28115,37426
28117,31822
28119,24272
28121,51927
28123,29619
28125,25462
28127,32585
28129,34019
28131,37472
28133,26561
28135,27694
28137,37779
28139,33393
28141,33377
28143,27929
28145,37336
28147,28167
28149,38949
28151,26920
28153,29468
28155,32483
28157,24526
28159,28792
28161,30372
28163,26743
29001,32811
29003,50390
29005,40188
29007,38281
29009,34011
29011,35081
29013,35883
29015,30282
29017,34991
29019,45678
29021,40417
29023,32903
29025,38636
29027,42381
29029,38420
29031,41149
29033,38388
29035,27914
29037,58616
29039,28658
29041,37526
29043,47794
29045,36930
29047,56393
29049,48786
29051,48379
29053,41287
29055,34686
29057,34148
29059,34911
29061,35647
29063,41184
29065,32326
29067,29097
29069,29805
29071,47556
29073,38379
29075,36515
29077,35827
29079,34568
29081,33691
29083,36888
29085,27936
29087,38326
29089,38459
29091,29447
29093,30683
29095,43524
29097,37691
29099,51431
29101,41858
29103,32450
29105,34066
29107,43594
29109,36012
29111,38302
29113,50352
29115,35127
29117,36119
29119,33399
29121,35441
29123,31275
29125,37574
29127,38111
29129,36013
29131,33992
29133,29220
29135,42892
29137,36212
29139,36966
29141,30466
29143,32481
29145,38537
29147,39014
29149,27400
29151,45559
29153,28642
29155,26656
29157,50030
29159,36758
29161,36203
29163,36732
29165,63619
29167,35360
29169,46032
29171,31717
29173,45933
29175,36257
29177,48758
29179,29841
29181,28683
29183,65532
29185,28468
29186,44885
29187,35056
29189,55131
29195,35552
29197,33505
29199,33954
29201,37608
29203,24679
29205,37589
29207,35049
29209,36285
29211,34445
29213,32418
29215,31866
29217,32632
29219,48838
29221,31145
29223,29022
29225,40982
29227,35182
29229,27531
29510,31940
30001,37248
30003,35362
30005,32748
30007,43007
30009,43162
30011,36284
30013,40615
30015,38293
30017,40879
30019,47800
30021,47102
30023,34912
30025,54945
30027,38231
30029,43601
30031,52710
30033,35955
30035,31291
30037,34173
30039,38492
30041,40215
30043,54868
30045,38808
30047,36472
30049,50201
30051,36336
30053,32480
30055,38982
30057,40961
30059,33194
30061,33636
30063,42680
30065,36643
30067,39466
30069,34665
30071,37386
30073,37844
30075,40088
30077,37031
30079,38912
30081,36721
30083,59676
30085,31889
30087,47053
30089,32406
30091,46769
30093,37841
30095,54039
30097,40124
30099,40758
30101,41152
30103,44900
30105,42543
30107,30241
30109,40660
30111,48431
31001,48606
31003,45395
31005,37081
31007,43493
31009,35639
31011,46643
31013,50329
31015,37048
31017,37069
31019,48667
31021,44404
31023,42974
31025,59274
31027,52357
31029,49217
31031,40201
31033,49688
31035,47044
31037,47524
31039,46732
31041,41483
31043,42435
31045,36740
31047,41826
31049,45124
31051,44300
31053,45262
31055,48320
31057,43799
31059,48921
31061,41728
31063,44878
31065,38543
31067,42045
31069,36117
31071,37903
31073,54269
31075,41642
31077,39749
31079,46265
31081,50834
31083,42598
31085,47522
31087,37400
31089,41400
31091,36619
31093,46029
31095,43012
31097,43202
31099,53773
31101,39850
31103,38585
31105,41869
31107,38190
31109,48613
31111,48725
31113,45278
31115,38307
31117,37974
31119,42534
31121,46793
31123,43983
31125,41933
31127,45467
31129,41047
31131,48883
31133,36022
31135,50118
31137,49852
31139,47248
31141,48700
31143,52652
31145,41686
31147,38760
31149,38007
31151,45612
31153,62995
31155,56889
31157,40366
31159,54917
31161,35721
31163,38336
31165,44929
31167,50462
31169,40860
31171,40218
31173,35857
31175,41016
31177,61526
31179,46480
31181,39342
31183,34869
31185,52716
32001,46645
32003,47494
32005,52648
32007,66356
32009,38198
32011,61928
32013,61647
32015,64779
32017,41258
32019,43267
32021,37659
32023,39986
32027,47937
32029,55597
32031,49813
32033,48905
32510,44151
33001,53536
33003,47054
33005,48586
33007,38051
33009,51269
33011,62458
33013,59580
33015,69547
33017,55137
33019,48464
34001,48049
34003,75898
34005,71484
34007,53604
34009,52561
34011,42638
34013,49621
34015,66154
34017,51798
34019,99694
34021,65632
34023,71156
34025,77581
34027,92949
34029,55693
34031,53404
34033,54387
34035,90156
34037,79741
34039,59770
34041,63247
35001,44687
35003,30357
35005,38489
35006,33764
35007,34550
35009,36441
35011,30730
35013,34251
35015,46372
35017,36473
35019,27828
35021,34892
35023,30682
35025,49805
35027,37901
35028,103160
35029,26076
35031,25843
35033,27213
35035,39021
35037,28360
35039,34144
35041,32848
35043,52254
35045,41306
35047,29035
35049,48076
35051,27601
35053,29842
35055,30708
35057,32591
35059,35247
35061,38511
36001,51871
36003,38918
36005,30762
36007,41980
36009,38069
36011,45546
36013,37633
36015,42161
36017,41223
36019,42685
36021,53095
36023,42930
36025,40341
36027,64446
36029,47542
36031,43091
36033,39683
36035,39304
36037,39654
36039,46674
36041,42533
36043,39486
36045,43252
36047,43770
36049,42709
36051,48266
36053,47481
36055,48099
36057,40806
36059,88713
36061,66439
36063,43477
36065,40947
36067,48409
36069,53794
36071,63469
36073,40803
36075,43039
36077,44349
36079,85569
36081,52363
36083,52675
36085,63814
36087,74519
36089,40505
36091,65020
36093,50197
36095,45853
36097,40992
36099,42094
36101,43280
36103,78990
36105,43641
36107,47452
36109,45993
36111,52945
36113,48871
36115,45123
36117,47059
36119,77274
36121,48056
36123,42321
37001,39989
37003,42837
37005,34488
37007,31101
37009,32693
37011,32486
37013,36308
37015,29396
37017,31592
37019,44451
37021,42534
37023,33618
37025,51190
37027,32373
37029,56297
37031,42989
37033,34522
37035,40711
37037,52990
37039,32061
37041,36401
37043,34481
37045,37689
37047,32573
37049,41868
37051,40953
37053,53544
37055,48435
37057,37593
37059,46226
37061,35437
37063,48666
37065,30763
37067,42930
37069,36558
37071,39487
37073,44818
37075,31203
37077,45270
37079,36716
37081,42864
37083,30314
37085,42087
37087,36566
37089,41440
37091,31261
37093,40906
37095,34112
37097,46482
37099,37673
37101,47338
37103,36828
37105,44695
37107,31737
37109,46997
37111,34260
37113,34612
37115,34854
37117,32326
37119,50829
37121,35620
37123,33119
37125,46655
37127,38663
37129,45243
